"id","temp","humidity","co2","device_name","timestamp","adjust_co2","device_name_label"
1508531,29.9,66.9,490,"tongdy_4","2025-07-21T17:15:45.000Z","492.428490","HLR Exhaust"
1508532,35.5,51.6,43,"tongdy_1","2025-07-21T17:16:15.000Z","431.164173","HLR intlet"
1508533,33.7,55.7,533,"tongdy_2","2025-07-21T17:16:15.000Z","497.844790","Carbon inlet"
1508534,29.8,67.6,452,"tongdy_3","2025-07-21T17:16:15.000Z","479.918977","Carbon Outlet"
1508535,29.9,66.9,490,"tongdy_4","2025-07-21T17:16:15.000Z","492.428490","HLR Exhaust"
1508536,35.5,51.7,42,"tongdy_1","2025-07-21T17:16:45.000Z","430.170462","HLR intlet"
1508537,33.7,55.7,533,"tongdy_2","2025-07-21T17:16:45.000Z","497.844790","Carbon inlet"
1508538,29.8,67.6,452,"tongdy_3","2025-07-21T17:16:45.000Z","479.918977","Carbon Outlet"
1508539,30,66.9,490,"tongdy_4","2025-07-21T17:16:45.000Z","492.428490","HLR Exhaust"
1508540,35.5,51.2,41,"tongdy_1","2025-07-21T17:17:15.000Z","429.176751","HLR intlet"
1508541,33.7,55.7,534,"tongdy_2","2025-07-21T17:17:15.000Z","498.962520","Carbon inlet"
1508542,29.8,67.6,452,"tongdy_3","2025-07-21T17:17:15.000Z","479.918977","Carbon Outlet"
1508543,29.9,66.9,490,"tongdy_4","2025-07-21T17:17:15.000Z","492.428490","HLR Exhaust"
1508544,35.5,51.6,40,"tongdy_1","2025-07-21T17:17:45.000Z","428.183040","HLR intlet"
1508545,33.7,55.7,535,"tongdy_2","2025-07-21T17:17:45.000Z","500.080250","Carbon inlet"
1508546,29.8,67.5,452,"tongdy_3","2025-07-21T17:17:45.000Z","479.918977","Carbon Outlet"
1508547,30,66.9,490,"tongdy_4","2025-07-21T17:17:45.000Z","492.428490","HLR Exhaust"
1508548,35.5,51.1,40,"tongdy_1","2025-07-21T17:18:15.000Z","428.183040","HLR intlet"
1508549,33.7,55.8,535,"tongdy_2","2025-07-21T17:18:15.000Z","500.080250","Carbon inlet"
1508550,29.8,67.5,452,"tongdy_3","2025-07-21T17:18:15.000Z","479.918977","Carbon Outlet"
1508551,30,66.9,490,"tongdy_4","2025-07-21T17:18:15.000Z","492.428490","HLR Exhaust"
1508552,35.5,51.5,41,"tongdy_1","2025-07-21T17:18:45.000Z","429.176751","HLR intlet"
1508553,33.7,56,535,"tongdy_2","2025-07-21T17:18:45.000Z","500.080250","Carbon inlet"
1508554,29.8,67.5,452,"tongdy_3","2025-07-21T17:18:45.000Z","479.918977","Carbon Outlet"
1508555,29.9,66.7,490,"tongdy_4","2025-07-21T17:18:45.000Z","492.428490","HLR Exhaust"
1508556,35.5,52,40,"tongdy_1","2025-07-21T17:19:15.000Z","428.183040","HLR intlet"
1508557,33.7,55.8,535,"tongdy_2","2025-07-21T17:19:15.000Z","500.080250","Carbon inlet"
1508558,29.8,67.3,452,"tongdy_3","2025-07-21T17:19:15.000Z","479.918977","Carbon Outlet"
1508559,30,66.7,490,"tongdy_4","2025-07-21T17:19:15.000Z","492.428490","HLR Exhaust"
1508560,35.5,51.5,40,"tongdy_1","2025-07-21T17:19:45.000Z","428.183040","HLR intlet"
1508561,33.7,56,535,"tongdy_2","2025-07-21T17:19:45.000Z","500.080250","Carbon inlet"
1508562,29.8,67.3,451,"tongdy_3","2025-07-21T17:19:45.000Z","478.867607","Carbon Outlet"
1508563,29.9,66.7,490,"tongdy_4","2025-07-21T17:19:45.000Z","492.428490","HLR Exhaust"
1508564,35.5,51.5,41,"tongdy_1","2025-07-21T17:20:15.000Z","429.176751","HLR intlet"
1508565,33.7,56,534,"tongdy_2","2025-07-21T17:20:15.000Z","498.962520","Carbon inlet"
1508566,29.8,67.3,451,"tongdy_3","2025-07-21T17:20:15.000Z","478.867607","Carbon Outlet"
1508567,30,66.9,490,"tongdy_4","2025-07-21T17:20:15.000Z","492.428490","HLR Exhaust"
1508568,35.5,51.2,41,"tongdy_1","2025-07-21T17:20:45.000Z","429.176751","HLR intlet"
1508569,33.7,56,534,"tongdy_2","2025-07-21T17:20:45.000Z","498.962520","Carbon inlet"
1508570,29.8,67.3,451,"tongdy_3","2025-07-21T17:20:45.000Z","478.867607","Carbon Outlet"
1508571,29.9,66.7,491,"tongdy_4","2025-07-21T17:20:45.000Z","493.551661","HLR Exhaust"
1508572,35.5,51.5,41,"tongdy_1","2025-07-21T17:21:15.000Z","429.176751","HLR intlet"
1508573,33.7,56,535,"tongdy_2","2025-07-21T17:21:15.000Z","500.080250","Carbon inlet"
1508574,29.8,67.4,450,"tongdy_3","2025-07-21T17:21:15.000Z","477.816237","Carbon Outlet"
1508575,30,66.7,490,"tongdy_4","2025-07-21T17:21:15.000Z","492.428490","HLR Exhaust"
1508576,35.5,51.7,40,"tongdy_1","2025-07-21T17:21:45.000Z","428.183040","HLR intlet"
1508577,33.7,55.8,535,"tongdy_2","2025-07-21T17:21:45.000Z","500.080250","Carbon inlet"
1508578,29.8,67.4,450,"tongdy_3","2025-07-21T17:21:45.000Z","477.816237","Carbon Outlet"
1508579,29.9,66.7,490,"tongdy_4","2025-07-21T17:21:45.000Z","492.428490","HLR Exhaust"
1508580,35.5,52,41,"tongdy_1","2025-07-21T17:22:15.000Z","429.176751","HLR intlet"
1508581,33.7,55.8,534,"tongdy_2","2025-07-21T17:22:15.000Z","498.962520","Carbon inlet"
1508582,29.8,67.3,450,"tongdy_3","2025-07-21T17:22:15.000Z","477.816237","Carbon Outlet"
1508583,30,66.7,490,"tongdy_4","2025-07-21T17:22:15.000Z","492.428490","HLR Exhaust"
1508584,35.5,51.5,42,"tongdy_1","2025-07-21T17:22:45.000Z","430.170462","HLR intlet"
1508585,33.7,55.8,534,"tongdy_2","2025-07-21T17:22:45.000Z","498.962520","Carbon inlet"
1508586,29.8,67.3,450,"tongdy_3","2025-07-21T17:22:45.000Z","477.816237","Carbon Outlet"
1508587,29.9,66.6,489,"tongdy_4","2025-07-21T17:22:45.000Z","491.305319","HLR Exhaust"
1508588,35.5,51.8,41,"tongdy_1","2025-07-21T17:23:15.000Z","429.176751","HLR intlet"
1508589,33.7,55.8,534,"tongdy_2","2025-07-21T17:23:15.000Z","498.962520","Carbon inlet"
1508590,29.8,67.4,450,"tongdy_3","2025-07-21T17:23:15.000Z","477.816237","Carbon Outlet"
